Model,Split,Accuracy,Macro Precision,Macro Recall,Macro F1
TF-IDF + Logistic Regression,valid,0.6051401869158879,0.6048240110862215,0.6049653938875496,0.6048120333615211
TF-IDF + Logistic Regression,test,0.6037884767166535,0.5983389649563654,0.5989167819026344,0.5985302954558078
TF-IDF + Linear SVM,valid,0.5755451713395638,0.5747416726045287,0.5746899059024808,0.574707048164983
TF-IDF + Linear SVM,test,0.6101026045777427,0.6043239342806395,0.6047229018189555,0.6044848365358853
