Model,Split,Accuracy,Macro Precision,Macro Recall,Macro F1
TF-IDF + Logistic Regression,test,0.6037884767166535,0.5983389649563654,0.5989167819026344,0.5985302954558078
TF-IDF + Linear SVM,test,0.6101026045777427,0.6043239342806395,0.6047229018189555,0.6044848365358853
distilbert-base-uncased,test,0.6479873717442778,0.6409649094730553,0.6338510087579335,0.634544443294702
