Model,Split,Accuracy,Macro Precision,Macro Recall,Macro F1
distilbert-base-uncased,valid,0.6409657320872274,0.6422005770735278,0.6373746014464577,0.6361973563148452
distilbert-base-uncased,test,0.6479873717442778,0.6409649094730553,0.6338510087579335,0.634544443294702
